ISSN;Título;Estrato;Hindex5;Hindex SJR;JIF;5 JIF;Eigenfactor;Article influence;
2175-7429;REVISTA NUPEM (IMPRESSO);B2;4;0;0;0;0;0;
2176-7912;REVISTA NUPEM (ONLINE);B2;0;0;0;0;0;0;
2238-5702;REVISTA ORG & DEMO (ONLINE);B2;0;0;0;0;0;0;
1984-1566;REVISTA PEDAGÓGICA (CHAPECÓ. ONLINE);B2;0;0;0;0;0;0;
1415-8175;REVISTA PEDAGÓGICA (UNOCHAPECÓ. IMPRESSO);B2;0;0;0;0;0;0;
1984-1566;REVISTA PEDAGÓGICA (UNOCHAPECÓ. ONLINE);B2;0;0;0;0;0;0;
2358-0844;REVISTA PERIÓDICUS;B2;4;0;0;0;0;0;
1517-5901;REVISTA POLÍTICA E TRABALHO;B2;0;0;0;0;0;0;
2179-4057;REVISTA PSICOPEDAGOGIA;B2;6;0;0;0;0;0;
1679-8775;REVISTA SUL-AMERICANA DE FILOSOFIA E EDUCAÇÃO;B2;0;0;0;0;0;0;
1807-5711;REVISTA TRAMA (CASCAVEL. IMPRESSO);B2;0;0;0;0;0;0;
1981-4674;REVISTA TRAMA (UNIOESTE. ONLINE);B2;0;0;0;0;0;0;
1254-4590;REVUE INTERNATIONALE D'ÉDUCATION SÈVRES;B2;4;0;0;0;0;0;
2011-5474;RLE (PASTO);B2;0;0;0;0;0;0;
1413-2109;RUA (UNICAMP);B2;0;0;0;0;0;0;
1808-2793;SCIENTIA PLENA;B2;8;0;0;0;0;0;
1679-5520;SCRIPTA UNIANDRADE;B2;2;0;0;0;0;0;
2178-8987;SER SOCIAL;B2;0;0;0;0;0;0;
2178-8987;SER SOCIAL (ONLINE);B2;0;0;0;0;0;0;
1415-6946;SER SOCIAL (UNB);B2;0;0;0;0;0;0;
0101-2940;SÉRIE ESTUDOS E PESQUISAS;B2;0;0;0;0;0;0;
1984-6487;SEXUALIDAD. SALUD Y SOCIEDAD (RIO DE JANEIRO);B2;12;0;0;0;0;0;
1982-2014;SIGNO (UNISC. ONLINE);B2;0;0;0;0;0;0;
2177-7306;SIGNUM - REVISTA DA ABREM;B2;4;0;0;0;0;0;
2159-5526;SOCIOLOGY STUDY;B2;0;0;0;0;0;0;
0102-5503;TECNOLOGIA EDUCACIONAL;B2;0;0;0;0;0;0;
0102-8782;TEMPO BRASILEIRO;B2;0;0;0;0;0;0;
2175-1803;TEMPO E ARGUMENTO;B2;0;3;0;0;0;0;
2237-8707;TEORIA E PRÁTICA DA EDUCAÇÃO;B2;5;0;0;0;0;0;
2237-8707;TEORIA E PRÁTICA DA EDUCAÇÃO;B2;5;0;0;0;0;0;
2237-8707;TEORIA E PRÁTICA DA EDUCAÇÃO (ON LINE);B2;0;0;0;0;0;0;
2237-8707;TEORIA E PRÁTICA DA EDUCAÇÃO (ON LINE);B2;0;0;0;0;0;0;
2238-104X;TEORIA E PRATICA EM ADMINISTRACAO;B2;5;0;0;0;0;0;
1981-6537;TERR@ PLURAL (UEPG. IMPRESSO);B2;0;0;0;0;0;0;
1678-2054;TERRA ROXA E OUTRAS TERRAS;B2;3;0;0;0;0;0;
2318-9576;TESSITURAS: REVISTA DE ANTROPOLOGIA E ARQUEOLOGIA;B2;0;0;0;0;0;0;
1807-9288;TEXTO DIGITAL (UFSC);B2;0;0;0;0;0;0;
2358-0801;TEXTURA - ULBRA;B2;3;0;0;0;0;0;
1518-4919;TEXTURA (CANOAS);B2;0;0;0;0;0;0;
2318-7115;THE ESPECIALIST;B2;0;0;0;0;0;0;
0102-7077;THE ESPECIALIST (PUCSP);B2;0;0;0;0;0;0;
2176-4891;TRIVIUM;B2;3;0;0;0;0;0;
2178-2571;UNINGÁ REVIEW;B2;4;0;0;0;0;0;
2178-2571;UNINGÁ REVIEW;B2;4;0;0;0;0;0;
1815-0640;UNIÓN (SAN CRISTOBAL DE LA LAGUNA);B2;0;0;0;0;0;0;
1982-2243;VEREDAS - REVISTA DE ESTUDOS LINGUÍSTICOS;B2;0;0;0;0;0;0;
1984-6746;VERITAS ONLINE;B2;0;0;0;0;0;0;
1809-2667;VÉRTICES;B2;0;0;0;0;0;0;
1981-4062;VISO : CADERNOS DE ESTÉTICA APLICADA;B2;0;0;0;0;0;0;
2317-6784;VISUALIDADES;B2;0;0;0;0;0;0;
1679-6748;VISUALIDADES (UFG);B2;0;0;0;0;0;0;
1980-4512;ZERO-A-SEIS (FLORIANÓPOLIS);B2;0;0;0;0;0;0;
1980-4512;ZERO-A-SEIS (FLORIANÓPOLIS);B2;0;0;0;0;0;0;
1516-3210;A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL;B3;7;0;0;0;0;0;
1234-950X;ACTA ANGIOLOGICA;B3;3;4;0;0;0;0;
1993-8233;AFRICAN JOURNAL OF BUSINESS MANAGEMENT;B3;23;0;1.105;1.105;0.00006;0.052;
1981-1411;AFRO-ÁSIA;B3;5;0;0;0;0;0;
1981-1411;AFROASIA;B3;5;0;0;0;0;0;
2175-7402;ALCEU (ONLINE);B3;0;0;0;0;0;0;
1518-8728;ALCEU (PUCRJ);B3;0;0;0;0;0;0;
1980-0436;ALEA (2006. ONLINE);B3;14;8;0.382;0.63;0.0017;0.717;
1413-8638;AMBIENTE & EDUCAÇÃO;B3;4;0;0;0;0;0;
2238-5533;AMBIENTE & EDUCAÇÃO: REVISTA DE EDUCAÇÃO AMBIENTAL;B3;4;0;0;0;0;0;
2107-0806;AMERIKA;B3;2;0;0;0;0;0;
0303-7762;ANAIS DO INSTITUTO DE HIGIENE E MEDICINA TROPICAL;B3;0;0;0;0;0;0;
0254-9212;ANTHROPOLOGICA;B3;7;0;0;0;0;0;
0213-3334;APUNTES DE PSICOLOGÍA;B3;9;0;0;0;0;0;
1886-6581;APUNTS. MEDICINA DE L'ESPORT (ONLINE);B3;0;7;0;0;0;0;
1414-8846;AQUILA (RIO DE JANEIRO);B3;0;0;0;0;0;0;
1575-6823;ARAUCARIA (MADRID);B3;0;2;0;0;0;0;
2448-2803;ARGUMENTOS PRÓ-EDUCAÇÃO - REVISTA DE EDUCAÇÃO DA UNIVÁS;B3;0;0;0;0;0;0;
1984-3852;ARTEFACTUM;B3;2;0;0;0;0;0;
1984-3852;ARTEFACTUM (RIO DE JANEIRO);B3;0;0;0;0;0;0;
2241-7702;ATHENS JOURNAL OF HUMANITIES & ARTS;B3;0;0;0;0;0;0;
0214-3402;AULA (SALAMANCA);B3;0;0;0;0;0;0;
2192-4295;BILDUNGSGESCHICHTE : INTERNATIONAL JOURNAL FOR THE HISTORIOGRAPHY OF EDUCATION;B3;0;0;0;0;0;0;
0102-6968;BOLETIM - CENTRO DE LETRAS E CIÊNCIAS HUMANAS (UEL);B3;0;0;0;0;0;0;
2047-0398;BUSINESS MANAGEMENT REVIEW (BMR);B3;0;0;0;0;0;0;
0102-9576;CADERNO DE LETRAS (UFPEL);B3;0;0;0;0;0;0;
2179-1376;CADERNO DE RELAÇÕES INTERNACIONAIS;B3;3;0;0;0;0;0;
2448-0916;CADERNOS CAJUÍNA;B3;0;0;0;0;0;0;
1519-0307;CADERNOS DE POS-GRADUACAO EM DISTURBIOS DO DESENVOLVIMENTO;B3;0;0;0;0;0;0;
2238-2860;CADERNOS DE TERAPIA OCUPACIONAL DA UFSCAR (ONLINE);B3;0;0;0;0;0;0;
2236-6385;CADERNOS DO IL;B3;0;0;0;0;0;0;
1292-2765;CAHIERS GASTON BACHELARD;B3;0;0;0;0;0;0;
2175-4217;CAMINE: CAMINHOS DA EDUCAÇÃO;B3;2;0;0;0;0;0;
2176-8625;CAMINHOS DA LINGUÍSTICA APLICADA;B3;0;0;0;0;0;0;
2176-8625;CAMINHOS EM LINGUÍSTICA APLICADA;B3;0;0;0;0;0;0;
1809-6271;CAMPO - TERRITÓRIO;B3;0;0;0;0;0;0;
0213-9529;CAMPO ABIERTO ¿ REVISTA DE EDUCACIÓN;B3;7;0;0;0;0;0;
1809-6271;CAMPO.TERRITÓRIO;B3;0;0;0;0;0;0;
1519-275X;CENA. UFRGS;B3;0;0;0;0;0;0;
1109-4028;CHEMISTRY EDUCATION. RESEARCH AND PRACTICE IN EUROPE;B3;0;28;1.906;1.941;0.00156;0.396;
1980-9425;CIÊNCIAS DA RELIGIÃO:HISTÓRIA E SOCIEDADE;B3;0;0;0;0;0;0;
1809-8428;COGNITIO-ESTUDOS (PUC-SP. ONLINE);B3;0;0;0;0;0;0;
1519-8529;COLABOR@ (CURITIBA);B3;0;0;0;0;0;0;
1809-8207;COLLOQUIUM HUMANARUM;B3;3;0;0;0;0;0;
1809-8207;COLLOQUIUM HUMANARUM (DIGITAL);B3;0;0;0;0;0;0;
1679-6470;COLLOQUIUM HUMANARUM (IMPRESSO);B3;3;0;0;0;0;0;
0104-6829;COMUNICACAO E EDUCACAO (USP);B3;0;0;0;0;0;0;
1981-9897;CONCINNITAS (ONLINE) (RIO DE JANEIRO);B3;0;0;0;0;0;0;
1983-3695;CONHECIMENTO & DIVERSIDADE;B3;3;0;0;0;0;0;
2237-8049;CONHECIMENTO & DIVERSIDADE;B3;3;0;0;0;0;0;
1677-1028;CONSCIENTIAE SAÚDE (IMPRESSO);B3;6;0;0;0;0;0;
1983-9324;CONSCIENTIAE SAÚDE (ONLINE);B3;0;0;0;0;0;0;
1415-6954;CONSTRUÇÃO PSICOPEDAGÓGICA (IMPRESSO);B3;0;0;0;0;0;0;
1809-9386;CONTEMPORANEA (UFBA. ONLINE);B3;0;0;0;0;0;0;
1517-6975;CONVENIT INTERNACIONAL (USP);B3;0;0;0;0;0;0;
1983-5337;CORREIO DA APPOA;B3;0;0;0;0;0;0;
2447-4223;CRÍTICA EDUCATIVA;B3;0;0;0;0;0;0;
0719-3483;CUADERNOS CHILENOS DE HISTORIA DE LA EDUCACIÓN;B3;0;0;0;0;0;0;
2328-4900;CURRENT URBAN STUDIES;B3;0;0;0;0;0;0;
1517-3801;DATAGRAMAZERO (RIO DE JANEIRO);B3;0;0;0;0;0;0;
2175-3903;DESENREDOS;B3;4;0;0;0;0;0;
2359-2087;EDUCA - REVISTA MULTIDISCIPLINAR EM EDUCAÇÃO;B3;0;0;0;0;0;0;
1677-6097;EDUCAÇÃO E EMANCIPAÇÃO (UFMA);B3;0;0;0;0;0;0;
1134-0258;EDUCACIÓ I HISTÒRIA: REVISTA D'HISTÒRIA DE L'EDUCACIÓ;B3;0;0;0;0;0;0;
2029-1922;EDUCATION POLICY. MANAGEMENT AND QUALITY;B3;0;0;0;0;0;0;
2038-9442;EDUCATION SCIENCES AND SOCIETY;B3;0;0;0;0;0;0;
2316-4417;EJA EM DEBATE;B3;0;0;0;0;0;0;
2317-1839;EJA EM DEBATE;B3;0;0;0;0;0;0;
1808-5245;EM QUESTÃO;B3;5;0;0;0;0;0;
1080-6059;EMERGING INFECTIOUS DISEASES (ONLINE);B3;0;189;8.222;7.373;0.07422;3.052;
1983-828X;ENCONTROS DE VISTA;B3;0;0;0;0;0;0;
1315-2149;ENSAYO Y ERROR: REVISTA DE EDUCACIÓN Y CIENCIAS SOCIALES;B3;0;0;0;0;0;0;
2340-7263;ESPACIO. TIEMPO Y EDUCACIÓN;B3;0;0;0;0;0;0;
1982-6524;ESPAÇO AMERÍNDIO (UFRGS);B3;0;0;0;0;0;0;
0100-3437;ESTUDOS DE PSICANÁLISE;B3;4;0;0;0;0;0;
2316-2171;ESTUDOS INTERDISCIPLINARES DO ENVELHECIMENTO - PORTO ALEGRE;B3;0;0;0;0;0;0;
1517-2473;ESTUDOS INTERDISCIPLINARES SOBRE O ENVELHECIMENTO;B3;0;0;0;0;0;0;
2318-0501;ESTUDOS KANTIANOS;B3;0;0;0;0;0;0;
1961-859X;ETUDES CARIBEENNES;B3;6;0;0;0;0;0;
2182-7168;EUROPEAN JOURNAL OF CURRICULUM STUDIES (EURO-JCS);B3;0;0;0;0;0;0;
2501-2428;EUROPEAN JOURNAL OF SPECIAL EDUCATION RESEARCH;B3;0;0;0;0;0;0;
1647-3558;EUROPEAN REVIEW OF ARTISTIC STUDIES;B3;0;0;0;0;0;0;
1984-9605;FILOSOFIA E EDUCAÇÃO;B3;2;0;0;0;0;0;
1984-9605;FILOSOFIA E EDUCAÇÃO (ONLINE);B3;0;0;0;0;0;0;
1313-2143;FÍSICA Y CULTURA: CUADERNOS SOBRE HISTORIA Y ENSEÑANZA DE LAS CIENCIAS;B3;0;0;0;0;0;0;
2176-4360;FORMAÇÃO DOCENTE;B3;0;0;0;0;0;0;
2176-4360;FORMAÇÃO DOCENTE - REVISTA BRASILEIRA DE PESQUISA SOBRE FORMAÇÃO DE PROFESSORES;B3;0;0;0;0;0;0;
2237-0587;FORMAÇÃO@DOCENTE;B3;0;0;0;0;0;0;
1825-7321;FORM@RE - OPEN JOURNAL PER LA FORMAZIONE IN RETE;B3;8;0;0;0;0;0;
1983-7828;FRAGMENTOS DE CULTURA;B3;4;0;0;0;0;0;
1983-7828;FRAGMENTOS DE CULTURA;B3;4;0;0;0;0;0;
1414-9494;FRAGMENTOS DE CULTURA (GOIÂNIA);B3;0;0;0;0;0;0;
1983-8220;GERAIS: REVISTA INTERINSTITUCIONAL DE PSICOLOGIA;B3;7;0;0;0;0;0;
1983-8220;GERAIS: REVISTA INTERINSTITUCIONAL DE PSICOLOGIA;B3;7;0;0;0;0;0;
2368-9242;GROUPE DE RECHERCHE EN LITTÉRATIE MÉDIATIQUE MULTIMODALE;B3;0;0;0;0;0;0;
1949-5005;HEALTH (IRVINE);B3;0;0;0;0;0;0;
1852-4710;HERRAMIENTA;B3;0;0;0;0;0;0;
0329-6121;HERRAMIENTA (BUENOS AIRES);B3;0;0;0;0;0;0;
2178-2911;HISTÓRIA DA CIÊNCIA E ENSINO: CONSTRUINDO INTERFACES;B3;0;0;0;0;0;0;
1852-5369;HISTORIA. VOCES Y MEMORIA;B3;0;0;0;0;0;0;
1982-8047;HU REVISTA;B3;5;0;0;0;0;0;
2358-8322;HUMANIDADES & INOVAÇÃO;B3;0;0;0;0;0;0;
2064-2199;HUNGARIAN EDUCATIONAL RESEARCH JOURNAL;B3;0;0;0;0;0;0;
1133-9810;IBER (BARCELONA);B3;0;0;0;0;0;0;
1981-1179;ID ONLINE - REVISTA MULTIDISCIPLINAR E DE PSICOLOGIA;B3;0;0;0;0;0;0;
0104-7876;IDÉIAS - REVISTA DO INSTITUTO DE FILOSOFIA E CIÊNCIAS HUMANAS DA UNICAMP;B3;0;0;0;0;0;0;
1676-9570;IDENTIDADE!;B3;0;0;0;0;0;0;
2178-437X;IDENTIDADE!;B3;0;0;0;0;0;0;
2178-437X;IDENTIDADE! (ONLINE);B3;0;0;0;0;0;0;
1699-4574;IE COMUNICACIONES;B3;0;0;0;0;0;0;
1981-8769;IHU ON-LINE (UNISINOS. IMPRESSO);B3;0;0;0;0;0;0;
1981-8793;IHU ON-LINE (UNISINOS. ONLINE);B3;0;0;0;0;0;0;
2411-1821;IJAEDU - INTERNATIONAL E-JOURNAL OF ADVANCES IN EDUCATION;B3;0;0;0;0;0;0;
1647-3582;INDAGATIO DIDACTICA;B3;6;0;0;0;0;0;
1647-3582;INDAGATIO DIDACTICA;B3;6;0;0;0;0;0;
1808-5377;INFODESIGN (SBDI. ONLINE);B3;0;0;0;0;0;0;
1981-8920;INFORMAÇÃO & INFORMAÇÃO;B3;5;0;0;0;0;0;
1981-8920;INFORMAÇÃO & INFORMAÇÃO (UEL. ONLINE);B3;0;0;0;0;0;0;
1679-8902;INTELLECTUS REVISTA ACADÊMICA DIGITAL;B3;0;0;0;0;0;0;
2301-0118;INTERCAMBIOS. DILEMAS Y TRANSICIONES DE LA EDUCACIÓN SUPERIOR;B3;0;0;0;0;0;0;
1552-2210;INTERDISCIPLINARY JOURNAL OF E-LEARNING AND LEARNING OBJECTS;B3;0;0;0;0;0;0;
2177-7691;INTERFACES DA EDUCAÇÃO;B3;5;0;0;0;0;0;
2177-7691;INTERFACES DA EDUCAÇÃO;B3;5;0;0;0;0;0;
2411-3123;INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH;B3;6;0;0;0;0;0;
2288-6729;INTERNATIONAL JOURNAL OF CHILD CARE AND EDUCATION POLICY;B3;0;0;0;0;0;0;
2230-9926;INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH;B3;0;0;0;0;0;0;
0214-9887;INTERNATIONAL JOURNAL OF DEVELOPMENTAL AND EDUCATIONAL PSYCHOLOGY;B3;4;0;0;0;0;0;
1948-5476;INTERNATIONAL JOURNAL OF EDUCATION;B3;38;0;0;0;0;0;
1814-0556;INTERNATIONAL JOURNAL OF EDUCATION AND DEVELOPMENT USING INFORMATION AND COMMUNICATION TECHNOLOGY;B3;16;0;0;0;0;0;
2201-6740;INTERNATIONAL JOURNAL OF EDUCATION AND RESEARCH;B3;0;0;0;0;0;0;
1755-8255;INTERNATIONAL JOURNAL OF KNOWLEDGE AND WEB INTELLIGENCE;B3;0;0;0;0;0;0;
2454-4116;INTERNATIONAL JOURNAL OF NEW TECHNOLOGY AND RESEARCH;B3;0;0;0;0;0;0;
2169-8759;INTERNATIONAL JOURNAL OF SPORTS SCIENCE;B3;6;0;0;0;0;0;
1980-4865;INTERNEXT (SÃO PAULO);B3;0;0;0;0;0;0;
1809-7286;INTERSABERES (FACINTER);B3;0;0;0;0;0;0;
2317-1456;INTERSEÇÕES - REVISTA DE ESTUDOS INTERDISCIPLINARES;B3;5;0;0;0;0;0;
1517-6088;INTERSEÇÕES (UERJ);B3;0;0;0;0;0;0;
1807-1384;INTERTHESIS (FLORIANÓPOLIS);B3;0;0;0;0;0;0;
1983-4012;INTUITIO (PORTO ALEGRE);B3;0;0;0;0;0;0;
0213-7771;INVESTIGACIÓN EN LA ESCUELA;B3;0;0;0;0;0;0;
0329-5893;INVESTIGACIONES EN PSICOLOGÍA;B3;0;0;0;0;0;0;
1647-0508;IN-VISIBILIDADES (LISBOA);B3;0;0;0;0;0;0;
2176-5634;JORNAL INTERNACIONAL DE ESTUDOS EM EDUCAÇÃO MATEMÁTICA;B3;5;0;0;0;0;0;
1989-9572;JOURNAL FOR EDUCATORS. TEACHERS. AND TRAINERS;B3;7;0;0;0;0;0;
1746-4269;JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE;B3;32;46;1.903;2.462;0.00253;94.34;
0090-8339;JOURNAL OF INTEGRATED COASTAL ZONE MANAGEMENT;B3;11;0;0;0;0;0;
2155-7993;JOURNAL OF MODERN EDUCATION REVIEW;B3;0;0;0;0;0;0;
2317-1537;JOURNAL OF SEED SCIENCE;B3;8;19;0;0;0;0;
2162-6952;JOURNAL OF STUDIES IN EDUCATION;B3;12;19;0;0;0;0;
1532-5415;JOURNAL OF THE AMERICAN GERIATRICS SOCIETY;B3;64;0;0;0;0;0;
1984-9206;KALAGATOS - REVISTA DE FILOSOFIA (VERSÃO ON-LINE);B3;0;0;0;0;0;0;
1808-107X;KALAGATOS (UECE);B3;0;0;0;0;0;0;
1984-8900;KÍNESIS (MARÍLIA);B3;0;0;0;0;0;0;
2386-5458;KULT-UR: REVISTA INTERDISCIPLINÀRIA SOBRE LA CULTURA DE LA CIUDAD;B3;0;0;0;0;0;0;
1957-0341;LA NOUVELLE REVUE DE L'ADAPTATION ET DE LA SCOLARISATION;B3;5;0;0;0;0;0;
1647-0117;LA RECHERCHE EN EDUCATION;B3;0;0;0;0;0;0;
1646-5237;LABOREAL (PORTO. ONLINE);B3;0;0;0;0;0;0;
1676-9651;LABRYS (EDIÇÃO EM PORTUGUÊS. ONLINE);B3;0;0;0;0;0;0;
1676-966X;LABRYS (EDITIÓN FRANÇAISE. ONLINE);B3;0;0;0;0;0;0;
2007-9842;LATIN AMERICAN JOURNAL OF SCIENCE EDUCATION;B3;0;0;0;0;0;0;
1514-3465;LECTURAS: EDUCACIÓN FÍSICA Y DEPORTES;B3;0;0;0;0;0;0;
1514-3465;LECTURAS EDUCACION FISICA Y DEPORTES;B3;0;0;0;0;0;0;
1514-3465;LECTURAS EDUCACION FISICA Y DEPORTES;B3;0;0;0;0;0;0;
0329-0069;LECTURAS EDUCACIÓN FÍSICA Y DEPORTES;B3;0;0;0;0;0;0;
1514-3465;LECTURAS EDUCACIÓN FÍSICA Y DEPORTES (BUENOS AIRES);B3;0;0;0;0;0;0;
0329-0069;LECTURAS EDUCACIÓN FÍSICA Y DEPORTES (BUENOS AIRES);B3;0;0;0;0;0;0;
0103-6858;LEITURA (UFAL);B3;0;0;0;0;0;0;
1808-3536;LIINC EM REVISTA;B3;7;0;0;0;0;0;
0024-3795;LINEAR ALGEBRA AND ITS APPLICATIONS;B3;39;72;0;0;0;0;
1983-6988;LINGUASAGEM (SÃO PAULO);B3;0;0;0;0;0;0;
2177-2789;LUMEN ET VIRTUS;B3;0;0;0;0;0;0;
1415-854X;LUTAS SOCIAIS (PUCSP);B3;0;0;0;0;0;0;
0342-0914;LUTHERJAHRBUCH;B3;0;0;0;0;0;0;
2179-9571;MEDIAÇÃO;B3;2;0;0;0;0;0;
2176-8943;MOSAICO (RIO DE JANEIRO);B3;0;0;0;0;0;0;
2176-1019;MUDANÇAS - PSICOLOGIA DA SAÚDE;B3;0;0;0;0;0;0;
2176-381X;MULEMBA;B3;2;0;0;0;0;0;
1648-939X;NATURAL  SCIENCE  EDUCATION;B3;0;0;0;0;0;0;
1648-939X;NATURAL SCIENCE EDUCATION;B3;0;0;0;0;0;0;
2326-5507;OPEN REVIEW OF EDUCATIONAL RESEARCH (ONLINE);B3;0;0;0;0;0;0;
2177-5648;OPSIS;B3;0;0;0;0;0;0;
1519-3276;OPSIS (UFG);B3;0;0;0;0;0;0;
1851-7811;ORBIS TERTIUS (EN LÍNEA);B3;0;0;0;0;0;0;
1688-5287;PÁGINAS DE EDUCACIÓN;B3;6;0;0;0;0;0;
1984-9532;PALÍNDROMO;B3;3;0;0;0;0;0;
2175-2346;PALÍNDROMO (ONLINE);B3;0;0;0;0;0;0;
1679-494X;PENSANDO FAMÍLIAS;B3;7;0;0;0;0;0;
0031-5125;PERCEPTUAL AND MOTOR SKILLS;B3;20;54;0;0;0;0;
2359-2842;PERSPECTIVAS DA EDUCAÇÃO MATEMÁTICA;B3;3;0;0;0;0;0;
1982-7652;PERSPECTIVAS DA EDUCAÇÃO MATEMÁTICA;B3;3;0;0;0;0;0;
2238-0507;PERSPECTIVAS EM CIÊNCIAS TECNOLÓGICAS;B3;0;0;0;0;0;0;
0100-204X;PESQUISA AGROPECUÁRIA BRASILEIRA (1977. IMPRESSA);B3;0;43;0;0;0;0;
2177-1626;PESQUISAEDUCA;B3;0;0;0;0;0;0;
2177-1626;PESQUISEDUCA;B3;3;0;0;0;0;0;
1811-0916;PHILOSOPHY OF EDUCATION - SCIENTIFIC JOURNAL;B3;0;0;0;0;0;0;
1679-2319;POÍESIS (CATALÃO);B3;0;0;0;0;0;0;
2178-4442;POÍESIS PEDAGOGICA;B3;0;0;0;0;0;0;
2178-4442;POÍESIS PEDAGÓGICA;B3;0;0;0;0;0;0;
0104-687X;POLIFONIA: ESTUDOS DA LINGUAGEM;B3;0;0;0;0;0;0;
2237-6844;POLIFONIA: ESTUDOS DA LINGUAGEM;B3;0;0;0;0;0;0;
2237-6844;POLIFONIA: ESTUDOS DA LINGUAGEM;B3;0;0;0;0;0;0;
1413-1862;PRESENÇA PEDAGOGICA;B3;0;0;0;0;0;0;
1413-1862;PRESENÇA PEDAGÓGICA;B3;0;0;0;0;0;0;
1878-0296;PROCEDIA ENVIRONMENTAL SCIENCES;B3;27;21;0;0;0;0;
0873-4976;PSICOLOGIA (BRAGA);B3;0;0;0;0;0;0;
2152-7199;PSYCHOLOGY;B3;0;0;0;0;0;0;
2152-7199;PSYCHOLOGY;B3;0;0;0;0;0;0;
2152-7180;PSYCHOLOGY (IRVINE);B3;0;0;0;0;0;0;
1463-9807;PSYCHOLOGY OF EDUCATION REVIEW;B3;0;0;0;0;0;0;
2014-4520;QUADERNS DE PSICOLOGIA. INTERNATIONAL JOURNAL OF PSYCHOLOGY;B3;0;1;0;0;0;0;
1828-7344;QWERTY - OPEN AND INTERDISCIPLINARY JOURNAL OF TECHNOLOGY. CULTURE AND EDUCATION;B3;0;0;0;0;0;0;
1954-3077;RECHERCHES EN ÉDUCATION;B3;6;0;0;0;0;0;
0102-0269;REFLEXÃO (PUCCAMP);B3;0;0;0;0;0;0;
1809-2276;REGE. REVISTA DE GESTÃO USP;B3;0;0;0;0;0;0;
1988-2041;RETOS;B3;17;0;0;0;0;0;
2177-8183;REVASF - REVISTA DE EDUCAÇÃO DA UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;B3;0;0;0;0;0;0;
1414-0594;REVISTA ACB (FLORIANÓPOLIS);B3;0;0;0;0;0;0;
1981-1411;REVISTA AFRO-ÁSIA;B3;0;0;0;0;0;0;
2236-4684;REVISTA ALIMENTUS - CIÊNCIA E TECNOLOGIA;B3;0;0;0;0;0;0;
0103-1716;REVISTA BRASILEIRA DE CIÊNCIA E MOVIMENTO;B3;9;0;0;0;0;0;
1980-0118;REVISTA BRASILEIRA DE EDUCAÇÃO AMBIENTAL (IMPRESSO);B3;4;0;0;0;0;0;
1981-1764;REVISTA BRASILEIRA DE EDUCAÇÃO AMBIENTAL (ONLINE);B3;0;0;0;0;0;0;
2236-3904;REVISTA BRASILEIRA DE EDUCAÇÃO EM GEOGRAFIA;B3;2;0;0;0;0;0;
0102-695X;REVISTA BRASILEIRA DE FARMACOGNOSIA;B3;20;32;1.059;1.197;0.00235;0.253;
2176-4360;REVISTA BRASILEIRA DE PESQUISA SOBRE FORMAÇÃO DE PROFESSORES;B3;0;0;0;0;0;0;
2254-7630;REVISTA CARIBEÑA DE CIENCIAS SOCIALES;B3;5;0;0;0;0;0;
1980-9425;REVISTA CIÊNCIAS DA RELIGIÃO: HISTÓRIA E SOCIEDADE;B3;0;0;0;0;0;0;
2500-5251;REVISTA COLOMBIANA DE MATEMÁTICA EDUCATIVA;B3;2;0;0;0;0;0;
2037-5662;REVISTA COMPARAZIONE E DIRITTO CIVILE;B3;0;0;0;0;0;0;
2236-7284;REVISTA DA FACULDADE DE DIREITO DA UFPR;B3;3;0;0;0;0;0;
2359-1382;REVISTA DE ADMINISTRAÇÃO EDUCACIONAL;B3;0;0;0;0;0;0;
1414-5987;REVISTA DE ADMINISTRAÇÃO EDUCACIONAL;B3;0;0;0;0;0;0;
1516-3865;REVISTA DE CIÊNCIAS DA ADMINISTRAÇÃO (CAD/UFSC);B3;0;0;0;0;0;0;
2317-6091;REVISTA DE CIÊNCIAS DA EDUCAÇÃO;B3;3;0;0;0;0;0;
1518-7039;REVISTA DE CIÊNCIAS DA EDUCAÇÃO;B3;0;0;0;0;0;0;
1518-7039;REVISTA DE CIÊNCIAS DA EDUCAÇÃO (APARECIDA);B3;0;0;0;0;0;0;
0101-9589;REVISTA DE CIÊNCIAS HUMANAS;B3;3;0;0;0;0;0;
2178-4582;REVISTA DE CIÊNCIAS HUMANAS;B3;3;0;0;0;0;0;
0101-9589;REVISTA DE CIÊNCIAS HUMANAS (UFSC);B3;3;0;0;0;0;0;
2179-345X;REVISTA DE DIREITO ECONÔMICO E SOCIOAMBIENTAL DA PUCPR;B3;0;0;0;0;0;0;
2175-6058;REVISTA DE DIREITOS E GARANTIAS FUNDAMENTAIS;B3;3;0;0;0;0;0;
2177-8183;REVISTA DE EDUCAÇÃO DO VALE DO SÃO FRANCISCO (REVASF);B3;0;0;0;0;0;0;
1981-8963;REVISTA DE ENFERMAGEM UFPE ON LINE;B3;0;0;0;0;0;0;
1981-8963;REVISTA DE ENFERMAGEM UFPE ON LINE;B3;0;0;0;0;0;0;
